Food,Brand,Serving Quantity,Serving Unit,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Potassium,P,Consumed At,Created At
cold brew,,2,cup (8 fl oz),4.74,0.1,0,0,9.48,0,0,0,0.56,232.26,14.22,2023-10-15 13:00:00,2023-10-30 23:49:38
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-15 13:00:00,2023-10-30 23:49:38
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-15 13:00:00,2023-10-30 23:49:38
chicken and rice,,1,cup,266.16,8.73,2.38,97.2,275.72,10.79,0.54,0.51,33.53,354.38,269.01,2023-10-15 16:00:00,2023-10-30 23:49:48
frozen pizza,,1,package 8 oz pizza,533.32,24.44,8.5,27.86,889.53,57.75,4.38,7.11,20.61,302.48,356.21,2023-10-15 21:00:00,2023-10-30 23:49:56
IsoGold,PVL,1,scoop,120,1,0.5,15,120,1,0,0.5,27,150,,2023-10-15 14:00:00,2023-10-30 23:50:18
cold brew,,2,cup (8 fl oz),4.74,0.1,0,0,9.48,0,0,0,0.56,232.26,14.22,2023-10-16 13:00:00,2023-10-23 01:48:28
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-16 13:00:00,2023-10-23 01:48:28
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-16 13:00:00,2023-10-23 01:48:28
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-16 16:00:00,2023-10-23 01:48:40
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-16 16:00:00,2023-10-23 01:48:40
frozen pizza,,1,package 8 oz pizza,533.32,24.44,8.5,27.86,889.53,57.75,4.38,7.11,20.61,302.48,356.21,2023-10-16 21:00:00,2023-10-23 01:49:05
"Crispy Rice Treats, Crispy Marshmallow Squares",Millville,1,bar,100,2.5,1.5,0,75,17,0,7,0,10,,2023-10-16 14:00:00,2023-10-23 01:49:19
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-16 21:00:00,2023-10-30 23:50:53
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-17 13:00:00,2023-10-23 01:46:37
iced coffee,,1,cup (8 fl oz),2.37,0.05,0,0,4.74,0,0,0,0.28,116.13,7.11,2023-10-17 13:00:00,2023-10-23 01:46:37
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-17 13:00:00,2023-10-23 01:46:37
cinnamon raisin bagel,,1,"large bagel (4-1/2"" dia)",358.94,2.23,0.36,0,450.64,72.31,3.01,7.83,12.84,193.88,131,2023-10-17 14:00:00,2023-10-23 01:46:55
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-17 21:00:00,2023-10-23 01:47:57
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-17 21:00:00,2023-10-23 01:47:57
ham sandwich,,1,sandwich,409.3,13.89,3.66,50.4,1478.98,47.71,4.56,6.02,22.49,500.32,235.64,2023-10-17 16:00:00,2023-10-23 01:48:07
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-17 21:00:00,2023-10-30 23:51:05
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-18 13:00:00,2023-10-23 01:44:53
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-18 13:00:00,2023-10-23 01:44:53
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-18 16:00:00,2023-10-23 01:45:17
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-18 16:00:00,2023-10-23 01:45:17
korean bbq,,1,cup,333.75,20.67,5.9,76.16,1142.92,11.85,1.04,8.06,25.03,421.38,240.78,2023-10-18 16:00:00,2023-10-23 01:45:17
pie,,1,"piece (1/8 of 9"" dia)",296.25,13.75,4.75,0,251.25,42.5,2,19.56,2.38,81.25,30,2023-10-18 21:00:00,2023-10-23 01:45:39
granola bar,,1,bar (1 oz),117.04,4.64,1.7,0,70.28,19.66,1.06,8.1,1.58,66.36,49.28,2023-10-18 14:00:00,2023-10-23 01:46:01
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-18 21:00:00,2023-10-30 23:51:28
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-19 13:00:00,2023-10-19 23:53:22
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-19 13:00:00,2023-10-19 23:53:22
hashbrown,,2,patty,288.32,18.06,2.7,0,599.96,30.62,2.86,0.6,2.74,376.3,103.88,2023-10-19 13:00:00,2023-10-19 23:53:22
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-19 16:00:00,2023-10-19 23:53:40
bbq sauce,,2,tbsp,58.48,0.21,0.02,0,349.18,13.86,0.31,11.3,0.28,78.88,6.8,2023-10-19 16:00:00,2023-10-19 23:53:40
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-19 16:00:00,2023-10-19 23:53:40
granola bar,,1,bar (1 oz),117.04,4.64,1.7,0,70.28,19.66,1.06,8.1,1.58,66.36,49.28,2023-10-19 14:00:00,2023-10-19 23:53:50
pork chop,,1,chop without refuse,328.13,17.36,5.52,131.88,86.35,0,0,0,40.21,540.08,345.4,2023-10-19 21:00:00,2023-10-19 23:54:15
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-19 21:00:00,2023-10-19 23:54:15
"IsoGold Whey Protein, Chocolate",PVL Elite,1,scoop,130,1.5,1,15,130,2,0.5,1,27,,,2023-10-19 21:00:00,2023-10-19 23:54:15
cold brew,,2,cup (8 fl oz),4.74,0.1,0,0,9.48,0,0,0,0.56,232.26,14.22,2023-10-19 13:00:00,2023-10-19 23:54:50
"Pre-Workout Supplement, Cherry",Jym,1,scoop,15,,,,220,4,,2,,,,2023-10-19 21:00:00,2023-10-30 23:51:52
"Egg Bites, Uncured Bacon & Gruyere",Starbucks Grocery,6,pieces,840,57,33,585,1920,24,0,3,51,438,,2023-10-20 13:00:00,2023-10-23 01:43:41
hashbrown,,2,patty,288.32,18.06,2.7,0,599.96,30.62,2.86,0.6,2.74,376.3,103.88,2023-10-20 13:00:00,2023-10-23 01:43:41
coffee,,1,cup (8 fl oz),2.37,0.05,0,0,4.74,0,0,0,0.28,116.13,7.11,2023-10-20 13:00:00,2023-10-23 01:43:41
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-20 16:00:00,2023-10-23 01:43:59
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-20 16:00:00,2023-10-23 01:43:59
bbq sauce,,2,tbsp,58.48,0.21,0.02,0,349.18,13.86,0.31,11.3,0.28,78.88,6.8,2023-10-20 16:00:00,2023-10-23 01:43:59
fajita,,1,platter,1400.67,55.32,17.5,253.63,1815.55,124.33,9.96,7.57,97.46,1256.4,976.18,2023-10-20 21:00:00,2023-10-23 01:44:18
bacon egg sandwich,,1,sandwich,433.47,27.43,12.18,237.73,838.25,27,1.54,0.19,18.57,262.77,267.36,2023-10-21 13:00:00,2023-10-23 01:40:29
iced coffee,,1,cup (8 fl oz),2.37,0.05,0,0,4.74,0,0,0,0.28,116.13,7.11,2023-10-21 13:00:00,2023-10-23 01:40:40
pork chop,,1,chop without refuse,328.13,17.36,5.52,131.88,86.35,0,0,0,40.21,540.08,345.4,2023-10-21 21:00:00,2023-10-23 01:41:59
baked apple,,1,piece,156.11,3.28,1.98,8.12,31.75,34,3.07,27.96,0.64,200.87,22.9,2023-10-21 21:00:00,2023-10-23 01:41:59
acorn squash,,1,"cup, cubes",114.8,0.29,0.06,0,8.2,29.89,9.02,,2.3,895.85,92.25,2023-10-21 21:00:00,2023-10-23 01:41:59
honey,,2,tbsp,127.68,0,0,0,1.68,34.6,0.08,34.5,0.12,21.84,1.68,2023-10-21 21:00:00,2023-10-23 01:41:59
squash,,1,"cup, sliced",41.4,0.7,0.12,0,1.8,6.82,1.98,4.46,1.87,318.6,52.2,2023-10-21 21:00:00,2023-10-23 01:41:59
Cakesters Soft Snack Cakes,Oreo,1,pack,260,13,4.5,5,220,36,1,21,2,94,,2023-10-21 14:00:00,2023-10-23 01:42:22
pasta shells,,3,cup shells,497.7,2.94,0.54,0,3.15,97.2,5.67,1.77,18.27,138.6,182.7,2023-10-22 21:00:00,2023-10-23 01:38:34
bagel,,1,medium bagel,277.2,1.39,0.38,0,443.1,55,1.68,8.85,11.09,112.35,103.95,2023-10-22 13:00:00,2023-10-23 01:38:53
coffee,,1,cup (8 fl oz),2.37,0.05,0,0,4.74,0,0,0,0.28,116.13,7.11,2023-10-22 13:00:00,2023-10-23 01:38:53
hot dog,,3,frankfurter,463.68,42.27,16.68,83.52,1226.88,3.84,0,1.83,16.83,362.88,200.16,2023-10-22 16:00:00,2023-10-23 01:39:08
pringles,,20,chips,177.13,11.47,2.81,0,130,18,0.94,0.24,1.5,207.03,35.75,2023-10-22 14:00:00,2023-10-23 01:39:30
oreo cookies,,4,cookie,222.72,9.2,2.72,0,186.24,34.08,1.4,19.52,2.52,112.32,44.64,2023-10-22 19:00:00,2023-10-23 01:39:58
english muffin,,1,muffin,133.95,1.03,0.15,0,264.48,26.22,1.54,,4.39,74.67,75.81,2023-10-23 13:00:00,2023-10-28 13:51:18
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-23 13:00:00,2023-10-28 13:51:18
banana,,1,"medium (7"" to 7-7/8"" long)",105.02,0.39,0.13,0,1.18,26.95,3.07,14.43,1.29,422.44,25.96,2023-10-23 14:00:00,2023-10-28 13:51:27
deli turkey,,2,oz,63.5,1.7,0.07,31.19,680.4,4.37,0.23,2.27,7.65,197.88,89.59,2023-10-23 16:00:00,2023-10-28 14:48:34
cheese cheddar,,1,oz,114.53,9.44,5.35,28.07,185.13,0.88,0,0.14,6.48,21.55,128.99,2023-10-23 16:00:00,2023-10-28 14:48:34
bread,,1,slice,66.5,0.84,0.17,0,122.5,12.35,0.67,1.41,2.22,31.5,24.5,2023-10-23 16:00:00,2023-10-28 14:48:34
BLT - 4 Corner Pizza Detroit-Style Slice,Jet's Pizza,2,slice,960,52,12,50,1160,84,4,4,34,,,2023-10-23 21:00:00,2023-10-28 14:49:00
hashbrown,,2,patty,288.32,18.06,2.7,0,599.96,30.62,2.86,0.6,2.74,376.3,103.88,2023-10-24 13:00:00,2023-10-30 23:44:56
fried eggs,,2,large,180.32,13.66,3.98,368.92,190.44,0.76,0,0.36,12.52,139.84,197.8,2023-10-24 13:00:00,2023-10-30 23:44:56
turkey bacon,,3,slice,89.43,6.3,1.68,37.17,491.1,1.02,0,1.02,7.17,161.85,101.1,2023-10-24 13:00:00,2023-10-30 23:44:56
turkey sandwich,,1,sandwich,323.7,13.3,2.31,46.28,417.1,29.12,2,3.83,20.7,268.86,182.55,2023-10-24 16:00:00,2023-10-30 23:45:04
"Crispy Rice Treats, Crispy Marshmallow Squares",Millville,2,bar,200,5,3,0,150,34,0,14,0,20,,2023-10-24 14:00:00,2023-10-30 23:45:14
"Isogold, Chocolate Flavor",PVL Elite,1,scoop,120,1,0.5,15,130,2,0,0.5,27,150,,2023-10-24 21:00:00,2023-10-30 23:45:26
bbq pork,,1,cup,418.32,11.01,3.53,87.15,1658.34,46.66,2.99,37.85,32.84,759.45,400.89,2023-10-24 21:00:00,2023-10-30 23:45:48
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-24 21:00:00,2023-10-30 23:45:48
toast,,2,slice,127.6,1.76,0.34,0.44,236.28,23.98,1.28,2.72,3.96,57.64,45.32,2023-10-25 13:00:00,2023-10-30 23:43:29
chips,,2,oz,301.64,19.26,1.92,0,298.81,30.52,1.76,0.18,3.62,678.13,86.75,2023-10-25 14:00:00,2023-10-30 23:43:57
turkey sandwich,,1,sandwich,323.7,13.3,2.31,46.28,417.1,29.12,2,3.83,20.7,268.86,182.55,2023-10-25 16:00:00,2023-10-30 23:44:06
chicken and rice,,1,cup,266.16,8.73,2.38,97.2,275.72,10.79,0.54,0.51,33.53,354.38,269.01,2023-10-25 21:00:00,2023-10-30 23:44:21
egg scrambled,,4,large,363.56,26.8,8.12,675.88,353.8,3.92,0,3.4,24.36,322.08,402.6,2023-10-26 13:00:00,2023-10-30 23:41:53
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-26 13:00:00,2023-10-30 23:41:53
turkey bacon,,2,slice,59.62,4.2,1.12,24.78,327.4,0.68,0,0.68,4.78,107.9,67.4,2023-10-26 13:00:00,2023-10-30 23:41:53
bacon sandwich,,1,sandwich,450,29.31,13.14,76.04,1110.87,25.5,1.35,2.84,20.15,295.95,230.89,2023-10-26 21:00:00,2023-10-30 23:42:49
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-26 16:00:00,2023-10-30 23:43:01
broccoli,,1,floret,3.5,0.04,0.01,0,4.1,0.72,0.33,0.14,0.24,29.3,6.7,2023-10-26 16:00:00,2023-10-30 23:43:01
chocolate cake,,1,piece,424.01,21.85,6.45,23.98,379.32,57.6,2.4,43.56,3.79,294.3,149.33,2023-10-26 14:00:00,2023-10-30 23:43:12
cinnamon raisin bagel,,1,"large bagel (4-1/2"" dia)",358.94,2.23,0.36,0,450.64,72.31,3.01,7.83,12.84,193.88,131,2023-10-27 13:00:00,2023-10-30 23:40:53
peanut butter,,2,tbsp,188.16,15.85,3.05,0,152.32,7.67,1.82,2.08,7.02,189.44,107.2,2023-10-27 13:00:00,2023-10-30 23:40:53
hot dog,,2,frankfurter,309.12,28.18,11.12,55.68,817.92,2.56,0,1.22,11.22,241.92,133.44,2023-10-27 16:00:00,2023-10-30 23:41:06
chicken and rice,,1,cup,266.16,8.73,2.38,97.2,275.72,10.79,0.54,0.51,33.53,354.38,269.01,2023-10-27 21:00:00,2023-10-30 23:41:22
banana,,1,"medium (7"" to 7-7/8"" long)",105.02,0.39,0.13,0,1.18,26.95,3.07,14.43,1.29,422.44,25.96,2023-10-27 14:00:00,2023-10-30 23:41:28
egg scrambled,,1,large,90.89,6.7,2.03,168.97,88.45,0.98,0,0.85,6.09,80.52,100.65,2023-10-28 13:00:00,2023-10-30 23:38:47
deli ham,,1,slice,23,0.78,0.15,9.43,294.17,0.13,0,0,3.89,112.7,60.03,2023-10-28 13:00:00,2023-10-30 23:38:47
toast,,1,slice,63.8,0.88,0.17,0.22,118.14,11.99,0.64,1.36,1.98,28.82,22.66,2023-10-28 13:00:00,2023-10-30 23:38:47
turkey sandwich,,1,sandwich,323.7,13.3,2.31,46.28,417.1,29.12,2,3.83,20.7,268.86,182.55,2023-10-28 16:00:00,2023-10-30 23:38:59
taco,,3,taco,630.36,29.85,12.72,76.5,1713.6,61.89,8.88,4.8,28.32,492.66,511.02,2023-10-28 21:00:00,2023-10-30 23:40:15
IsoGold,PVL,1,scoop,120,1,0.5,15,120,1,0,0.5,27,150,,2023-10-28 14:00:00,2023-10-30 23:40:27
"Egg Bites, Uncured Bacon & Gruyere",Starbucks Grocery,3,pieces,420,28.5,16.5,292.5,960,12,0,1.5,25.5,219,,2023-10-29 13:00:00,2023-10-30 23:37:26
croissant,,1,"croissant, large",272.02,14.07,7.81,44.89,312.89,30.69,1.74,7.54,5.49,79.06,70.35,2023-10-29 14:00:00,2023-10-30 23:37:58
chicken breast,,1,breast,198,4.28,1.21,102,88.8,0,0,0,37.22,307.2,273.6,2023-10-29 16:00:00,2023-10-30 23:38:09
rice,,1,cup,205.4,0.44,0.12,0,1.58,44.51,0.63,0.08,4.25,55.3,67.94,2023-10-29 16:00:00,2023-10-30 23:38:09
nachos,,1,order,1233.77,96.18,39.27,282.47,1744.25,26.46,4,10.07,67.11,1257.22,925.88,2023-10-29 21:00:00,2023-10-30 23:38:19
shawarma wraps,,1,sandwich,527.72,17.33,3.6,100.94,1184.66,46.3,3.14,3.41,45.27,629.66,458.63,2023-10-30 21:00:00,2023-10-30 23:33:46
fried eggs,,3,large,270.48,20.49,5.97,553.38,285.66,1.14,0,0.54,18.78,209.76,296.7,2023-10-30 13:00:00,2023-10-30 23:33:58
pie,,1,"piece (1/8 of 9"" dia)",296.25,13.75,4.75,0,251.25,42.5,2,19.56,2.38,81.25,30,2023-10-30 16:00:00,2023-10-30 23:34:08
granola bar,,1,bar (1 oz),117.04,4.64,1.7,0,70.28,19.66,1.06,8.1,1.58,66.36,49.28,2023-10-30 14:00:00,2023-10-30 23:34:19
turkey bacon,,3,slice,89.43,6.3,1.68,37.17,491.1,1.02,0,1.02,7.17,161.85,101.1,2023-10-30 13:00:00,2023-10-30 23:34:36
"IsoGold Whey Protein, Chocolate",PVL Elite,1,scoop,130,1.5,1,15,130,2,0.5,1,27,,,2023-10-30 19:00:00,2023-10-30 23:35:31
Collagen Powder Dietary Supplement,BioOptimal,1,scoop,35,,,,,,,,9,,,2023-10-30 21:00:00,2023-10-30 23:37:05
egg scrambled,,4,large,363.56,26.8,8.12,675.88,353.8,3.92,0,3.4,24.36,322.08,402.6,2023-10-30 23:43:39,2023-10-30 23:43:39
